time,gFx,gFy,gFz,TgF
13:37:54:5840,-0.0774,0.3288,0.9198,0.980
13:37:54:5870,-0.0765,0.3288,0.9234,0.983
13:37:54:5880,-0.0772,0.3274,0.9288,0.988
13:37:54:5900,-0.0782,0.3256,0.9352,0.993
13:37:54:5930,-0.0789,0.3256,0.9374,0.995
13:37:54:5950,-0.0794,0.3266,0.9374,0.996
13:37:54:5970,-0.0809,0.3264,0.9364,0.995
13:37:54:6000,-0.0816,0.3252,0.9332,0.992
13:37:54:6020,-0.0823,0.3239,0.9308,0.989
13:37:54:6050,-0.0840,0.3212,0.9315,0.989
13:37:54:6070,-0.0848,0.3205,0.9305,0.988
13:37:54:6090,-0.0850,0.3222,0.9288,0.987
13:37:54:6120,-0.0843,0.3239,0.9269,0.985
13:37:54:6150,-0.0826,0.3254,0.9237,0.983
13:37:54:6170,-0.0821,0.3252,0.9200,0.979
13:37:54:6190,-0.0833,0.3242,0.9164,0.976
13:37:54:6220,-0.0855,0.3237,0.9156,0.975
13:37:54:6240,-0.0867,0.3234,0.9161,0.975
13:37:54:6260,-0.0882,0.3227,0.9168,0.976
13:37:54:6290,-0.0899,0.3220,0.9178,0.977
13:37:54:6320,-0.0901,0.3234,0.9203,0.980
13:37:54:6350,-0.0906,0.3256,0.9239,0.984
13:37:54:6360,-0.0919,0.3286,0.9276,0.988
13:37:54:6390,-0.0919,0.3298,0.9293,0.990
13:37:54:6410,-0.0926,0.3308,0.9310,0.992
13:37:54:6440,-0.0923,0.3308,0.9344,0.996
13:37:54:6460,-0.0906,0.3303,0.9371,0.998
13:37:54:6490,-0.0899,0.3308,0.9403,1.001
13:37:54:6510,-0.0887,0.3320,0.9425,1.003
13:37:54:6530,-0.0877,0.3342,0.9435,1.005
13:37:54:6560,-0.0870,0.3349,0.9452,1.007
13:37:54:6580,-0.0857,0.3347,0.9469,1.008
13:37:54:6600,-0.0853,0.3362,0.9471,1.009
13:37:54:6630,-0.0845,0.3369,0.9466,1.008
13:37:54:6650,-0.0816,0.3371,0.9469,1.008
13:37:54:6680,-0.0811,0.3371,0.9464,1.008
13:37:54:6700,-0.0811,0.3366,0.9442,1.006
13:37:54:6730,-0.0799,0.3364,0.9418,1.003
13:37:54:6750,-0.0799,0.3371,0.9374,0.999
13:37:54:6790,-0.0796,0.3369,0.9310,0.993
13:37:54:6800,-0.0784,0.3369,0.9261,0.989
13:37:54:6820,-0.0774,0.3376,0.9229,0.986
13:37:54:6850,-0.0760,0.3374,0.9195,0.982
13:37:54:6870,-0.0755,0.3381,0.9186,0.982
13:37:54:6899,-0.0745,0.3388,0.9195,0.983
13:37:54:6919,-0.0738,0.3386,0.9200,0.983
13:37:54:6939,-0.0740,0.3393,0.9212,0.985
13:37:54:6969,-0.0723,0.3391,0.9234,0.986
13:37:54:6990,-0.0713,0.3371,0.9247,0.987
13:37:54:7050,-0.0718,0.3362,0.9237,0.986
13:37:54:7060,-0.0716,0.3354,0.9222,0.984
13:37:54:7070,-0.0728,0.3335,0.9203,0.982
13:37:54:7090,-0.0748,0.3318,0.9188,0.980
13:37:54:7120,-0.0748,0.3305,0.9181,0.979
13:37:54:7140,-0.0740,0.3305,0.9164,0.977
13:37:54:7180,-0.0748,0.3308,0.9156,0.976
13:37:54:7240,-0.0757,0.3303,0.9161,0.977
13:37:54:7250,-0.0752,0.3298,0.9159,0.976
13:37:54:7250,-0.0743,0.3298,0.9156,0.976
13:37:54:7260,-0.0743,0.3296,0.9164,0.977
13:37:54:7290,-0.0728,0.3296,0.9186,0.979
