time,gFx,gFy,gFz,TgF
13:42:42:8890,-0.0745,0.3415,0.8988,0.964
13:42:42:8920,-0.0669,0.3357,0.9159,0.978
13:42:42:8940,-0.0586,0.3293,0.9349,0.993
13:42:42:8960,-0.0498,0.3254,0.9520,1.007
13:42:42:8980,-0.0406,0.3227,0.9699,1.023
13:42:42:9010,-0.0310,0.3212,0.9872,1.039
13:42:42:9040,-0.0242,0.3198,0.9992,1.049
13:42:42:9060,-0.0203,0.3169,1.0089,1.058
13:42:42:9080,-0.0191,0.3125,1.0168,1.064
13:42:42:9110,-0.0215,0.3090,1.0180,1.064
13:42:42:9130,-0.0227,0.3054,1.0085,1.054
13:42:42:9160,-0.0594,0.2291,0.8944,0.925
13:42:42:9180,-0.1683,0.0115,0.5524,0.578
13:42:42:9200,-0.2450,-0.1219,0.2763,0.389
13:42:42:9230,-0.2326,-0.0796,0.2597,0.358
13:42:42:9260,-0.1808,-0.0046,0.3413,0.386
13:42:42:9280,-0.1077,0.0857,0.4739,0.494
13:42:42:9300,-0.0344,0.1810,0.6274,0.654
13:42:42:9320,0.0293,0.2726,0.7766,0.824
13:42:42:9350,0.0782,0.3484,0.8980,0.966
13:42:42:9380,0.1094,0.3997,0.9784,1.063
13:42:42:9400,0.1278,0.4265,1.0207,1.114
13:42:42:9420,0.1380,0.4361,1.0358,1.132
13:42:42:9450,0.1392,0.4322,1.0375,1.133
13:42:42:9470,0.1273,0.4146,1.0368,1.124
13:42:42:9500,0.1026,0.3872,1.0419,1.116
13:42:42:9520,0.0664,0.3535,1.0541,1.114
13:42:42:9540,0.0215,0.3164,1.0683,1.114
13:42:42:9570,-0.0305,0.2809,1.0710,1.108
13:42:42:9590,-0.0833,0.2499,1.0649,1.097
13:42:42:9620,-0.1317,0.2238,1.0588,1.090
13:42:42:9640,-0.1764,0.2018,1.0580,1.091
13:42:42:9660,-0.2140,0.1822,1.0685,1.105
13:42:42:9690,-0.2423,0.1659,1.0842,1.123
13:42:42:9710,-0.2638,0.1537,1.0979,1.140
13:42:42:9750,-0.2809,0.1417,1.1059,1.150
13:42:42:9760,-0.2968,0.1292,1.1069,1.153
13:42:42:9790,-0.3137,0.1195,1.0986,1.149
13:42:42:9810,-0.3300,0.1116,1.0815,1.136
13:42:42:9830,-0.3474,0.1021,1.0588,1.119
13:42:42:9860,-0.3579,0.0816,0.9691,1.036
13:42:42:9880,-0.3652,0.0591,0.8621,0.938
13:42:42:9910,-0.3794,0.0481,0.8421,0.925
13:42:42:9930,-0.3916,0.0393,0.8453,0.932
13:42:42:9960,-0.4004,0.0271,0.8265,0.919
13:42:42:9990,-0.4094,0.0222,0.8133,0.911
13:42:43:0000,-0.4168,0.0230,0.8032,0.905
13:42:43:0030,-0.4180,0.0264,0.7861,0.891
13:42:43:0050,-0.4102,0.0337,0.7698,0.873
13:42:43:0090,-0.3965,0.0423,0.7644,0.862
13:42:43:0100,-0.3760,0.0559,0.7720,0.860
13:42:43:0120,-0.3462,0.0748,0.7771,0.854
13:42:43:0150,-0.3137,0.0916,0.7720,0.838
13:42:43:0180,-0.2785,0.1058,0.7590,0.815
13:42:43:0200,-0.2416,0.1270,0.7576,0.805
13:42:43:0230,-0.1940,0.1466,0.8333,0.868
13:42:43:0240,-0.1456,0.1595,0.9283,0.953
13:42:43:0270,-0.1214,0.1691,0.9572,0.980
13:42:43:0290,-0.1043,0.1727,0.9716,0.992
13:42:43:0320,-0.0835,0.1713,0.9901,1.008
13:42:43:0400,-0.0677,0.1642,1.0107,1.026
13:42:43:0400,-0.0564,0.1485,1.0334,1.046
13:42:43:0400,-0.0493,0.1280,1.0646,1.073
13:42:43:0429,-0.0420,0.0987,1.0908,1.096
13:42:43:0440,-0.0415,0.0589,1.1135,1.116
13:42:43:0470,-0.0498,0.0230,1.1457,1.147
13:42:43:0490,-0.0611,-0.0056,1.1585,1.160
13:42:43:0509,-0.0779,-0.0303,1.1668,1.170
13:42:43:0540,-0.1036,-0.0557,1.1836,1.189
13:42:43:0570,-0.1295,-0.0723,1.2000,1.209
13:42:43:0600,-0.1581,-0.0801,1.2076,1.220
13:42:43:0620,-0.1896,-0.0894,1.2149,1.233
13:42:43:0820,-0.2147,-0.0931,1.2400,1.262
13:42:43:0830,-0.2404,-0.0909,1.2620,1.288
13:42:43:0830,-0.2543,-0.0677,1.2630,1.290
13:42:43:0830,-0.2592,-0.0393,1.2620,1.289
13:42:43:0830,-0.2702,-0.0281,1.2630,1.292
13:42:43:0840,-0.2797,-0.0220,1.2720,1.303
13:42:43:0840,-0.2841,-0.0159,1.2811,1.312
13:42:43:0840,-0.2868,-0.0103,1.2838,1.315
13:42:43:0840,-0.2944,-0.0115,1.2891,1.322
13:42:43:0880,-0.3012,-0.0173,1.2806,1.316
13:42:43:0880,-0.3041,-0.0261,1.2598,1.296
13:42:43:0900,-0.3051,-0.0354,1.2420,1.279
13:42:43:0930,-0.3044,-0.0388,1.2334,1.271
13:42:43:0950,-0.3027,-0.0362,1.2291,1.266
13:42:43:0980,-0.2951,-0.0303,1.2256,1.261
13:42:43:1000,-0.2651,-0.0093,1.0695,1.102
13:42:43:1019,-0.1930,0.0564,0.6874,0.716
13:42:43:1050,-0.0892,0.1600,0.3660,0.409
13:42:43:1070,0.0017,0.2565,0.3469,0.431
13:42:43:1100,0.0581,0.3217,0.5751,0.662
13:42:43:1120,0.1068,0.3706,0.8316,0.917
13:42:43:1150,0.1654,0.4300,1.0050,1.106
13:42:43:1170,0.2277,0.5025,1.0793,1.212
13:42:43:1190,0.2802,0.5756,1.0409,1.222
13:42:43:1220,0.3125,0.6408,0.9391,1.179
13:42:43:1250,0.3325,0.7033,0.8255,1.134
13:42:43:1270,0.3230,0.7537,0.7292,1.097
13:42:43:1290,0.2785,0.7876,0.6559,1.062
13:42:43:1310,0.2379,0.8230,0.5993,1.046
13:42:43:1340,0.2055,0.8521,0.5709,1.046
13:42:43:1360,0.1739,0.8795,0.5697,1.062
13:42:43:1390,0.1473,0.9017,0.5936,1.090
13:42:43:1409,0.1275,0.9142,0.6376,1.122
13:42:43:1440,0.1119,0.9271,0.6906,1.161
13:42:43:1460,0.0965,0.9354,0.7478,1.201
13:42:43:1480,0.0835,0.9408,0.7923,1.233
13:42:43:1510,0.0696,0.9454,0.8225,1.255
13:42:43:1530,0.0606,0.9491,0.8560,1.280
13:42:43:1550,0.0642,0.9491,0.8865,1.300
13:42:43:1620,0.0730,0.9403,0.9007,1.304
13:42:43:1620,0.0862,0.9242,0.9022,1.294
13:42:43:1630,0.1058,0.8946,0.8975,1.272
13:42:43:1650,0.1178,0.8450,0.8966,1.238
13:42:43:1680,0.1287,0.7874,0.8936,1.198
13:42:43:1700,0.1505,0.7290,0.8931,1.163
13:42:43:1729,0.1642,0.6669,0.9071,1.138
13:42:43:1750,0.1661,0.6088,0.9210,1.116
13:42:43:1780,0.1669,0.5568,0.9266,1.094
13:42:43:1800,0.1749,0.5128,0.9308,1.077
13:42:43:1820,0.1940,0.4788,0.9244,1.059
13:42:43:1850,0.2140,0.4493,0.9142,1.041
13:42:43:1870,0.2235,0.4214,0.9129,1.030
13:42:43:1890,0.2257,0.3955,0.9044,1.013
13:42:43:1920,0.2211,0.3730,0.9061,1.005
13:42:43:1940,0.2037,0.3579,0.9222,1.010
13:42:43:1970,0.1820,0.3596,0.9271,1.011
13:42:43:1990,0.1681,0.3706,0.9190,1.005
13:42:43:2020,0.1629,0.3804,0.8990,0.990
13:42:43:2039,0.1568,0.3906,0.8861,0.981
13:42:43:2070,0.1524,0.4060,0.8826,0.983
13:42:43:2090,0.1480,0.4212,0.8770,0.984
13:42:43:2120,0.1444,0.4304,0.8736,0.985
13:42:43:2140,0.1436,0.4388,0.8787,0.993
13:42:43:2170,0.1427,0.4468,0.8809,0.998
13:42:43:2190,0.1441,0.4505,0.8785,0.998
13:42:43:2210,0.1439,0.4500,0.8763,0.996
13:42:43:2240,0.1378,0.4471,0.8673,0.985
13:42:43:2260,0.1241,0.4434,0.8382,0.956
13:42:43:2290,0.1090,0.4397,0.7949,0.915
