time,gFx,gFy,gFz,TgF
13:38:54:5250,-0.5895,-0.0308,0.9269,1.099
13:38:54:5270,-0.5880,-0.0274,0.9010,1.076
13:38:54:5290,-0.5760,-0.0142,0.8851,1.056
13:38:54:5320,-0.5548,0.0012,0.8736,1.035
13:38:54:5350,-0.5274,0.0139,0.8611,1.010
13:38:54:5370,-0.4625,0.0188,1.0600,1.157
13:38:54:5400,-0.3862,0.0310,1.2124,1.273
13:38:54:5420,-0.3552,0.0525,1.1406,1.196
13:38:54:5440,-0.3398,0.0577,1.1296,1.181
13:38:54:5460,-0.3186,0.0555,1.1345,1.180
13:38:54:5490,-0.2980,0.0601,1.1348,1.175
13:38:54:5510,-0.2797,0.0755,1.1440,1.180
13:38:54:5540,-0.2653,0.0926,1.1650,1.198
13:38:54:5560,-0.2475,0.1070,1.1931,1.223
13:38:54:5590,-0.2257,0.1173,1.2178,1.244
13:38:54:5610,-0.2045,0.1178,1.2403,1.263
13:38:54:5629,-0.1842,0.1082,1.2515,1.270
13:38:54:5659,-0.1691,0.1050,1.2642,1.280
13:38:54:5679,-0.1488,0.1182,1.2762,1.290
13:38:54:5709,-0.1263,0.1324,1.2882,1.301
13:38:54:5729,-0.1107,0.1463,1.2808,1.294
13:38:54:5760,-0.0589,0.1788,1.0485,1.065
13:38:54:5780,0.0447,0.2460,0.5834,0.635
13:38:54:5800,0.1478,0.3335,0.2712,0.455
13:38:54:5840,0.1959,0.3738,0.3779,0.566
13:38:54:5880,0.2011,0.3569,0.7307,0.838
13:38:54:5880,0.2037,0.3405,1.0234,1.098
13:38:54:5910,0.2042,0.3349,1.2012,1.264
13:38:54:5980,0.2033,0.3427,1.3158,1.375
13:38:54:5990,0.1974,0.3625,1.3805,1.441
13:38:54:5990,0.1849,0.3882,1.3898,1.455
13:38:54:6010,0.1634,0.4153,1.3588,1.430
13:38:54:6050,0.1283,0.4388,1.3048,1.383
13:38:54:6060,0.0845,0.4634,1.2183,1.306
13:38:54:6080,0.0440,0.4891,1.0988,1.204
13:38:54:6100,0.0161,0.5218,1.0243,1.150
13:38:54:6120,0.0051,0.5582,0.9796,1.128
13:38:54:6150,0.0068,0.5944,0.9440,1.116
13:38:54:6170,0.0132,0.6278,0.9305,1.123
13:38:54:6190,0.0271,0.6545,0.9237,1.132
13:38:54:6220,0.0420,0.6750,0.9501,1.166
13:38:54:6240,0.0525,0.6894,0.9791,1.199
13:38:54:6260,0.0611,0.7024,0.9867,1.213
13:38:54:6290,0.0657,0.7116,0.9833,1.216
13:38:54:6310,0.0733,0.7151,0.9955,1.228
13:38:54:6340,0.0821,0.7182,1.0282,1.257
13:38:54:6360,0.0938,0.7300,1.0666,1.296
