time,gFx,gFy,gFz,TgF
13:44:50:5300,-0.1903,0.4544,0.8247,0.961
13:44:50:5350,-0.1854,0.4554,0.8409,0.974
13:44:50:5370,-0.1791,0.4549,0.8541,0.984
13:44:50:5380,-0.1749,0.4524,0.8651,0.992
13:44:50:5400,-0.1752,0.4502,0.8729,0.998
13:44:50:5430,-0.1739,0.4480,0.8782,1.001
13:44:50:5450,-0.1703,0.4475,0.8817,1.003
13:44:50:5470,-0.1656,0.4485,0.8853,1.006
13:44:50:5510,-0.1600,0.4490,0.8883,1.008
13:44:50:5530,-0.1544,0.4478,0.8902,1.008
13:44:50:5550,-0.1488,0.4458,0.8917,1.008
13:44:50:5570,-0.1441,0.4432,0.8897,1.004
13:44:50:5590,-0.1422,0.4405,0.8878,1.001
13:44:50:5620,-0.1414,0.4400,0.8875,1.001
13:44:50:5639,-0.1424,0.4405,0.8870,1.001
13:44:50:5659,-0.1478,0.4405,0.8851,1.000
13:44:50:5689,-0.1566,0.4370,0.8778,0.993
13:44:50:5709,-0.1629,0.4351,0.8643,0.981
13:44:50:5740,-0.1607,0.4444,0.8607,0.982
13:44:50:5760,-0.1578,0.4554,0.8670,0.992
13:44:50:5790,-0.1617,0.4588,0.8675,0.995
13:44:50:5820,-0.1695,0.4576,0.8577,0.987
13:44:50:5840,-0.1744,0.4566,0.8416,0.973
13:44:50:5860,-0.1754,0.4568,0.8257,0.960
13:44:50:5880,-0.1774,0.4568,0.8142,0.950
13:44:50:5910,-0.1776,0.4568,0.8081,0.945
13:44:50:5930,-0.1739,0.4566,0.8081,0.944
13:44:50:5950,-0.1693,0.4568,0.8130,0.948
13:44:50:5980,-0.1542,0.4441,0.8074,0.934
13:44:50:6000,-0.1099,0.3987,0.7776,0.881
13:44:50:6030,-0.1048,0.3899,0.7913,0.888
13:44:50:6050,-0.1520,0.4392,0.8306,0.952
13:44:50:6080,-0.1847,0.4839,0.8436,0.990
13:44:50:6100,-0.2084,0.5084,0.8660,1.026
