time,gFx,gFy,gFz,TgF
13:44:09:9980,0.2353,0.1410,1.0468,1.082
13:44:10:0010,0.2379,0.1449,1.0456,1.082
13:44:10:0030,0.2367,0.1463,1.0434,1.080
13:44:10:0050,0.2331,0.1461,1.0370,1.073
13:44:10:0070,0.2294,0.1446,1.0241,1.059
13:44:10:0110,0.2250,0.1395,1.0087,1.043
13:44:10:0130,0.2199,0.1329,0.9936,1.026
13:44:10:0150,0.2145,0.1263,0.9786,1.010
13:44:10:0170,0.2074,0.1178,0.9635,0.993
13:44:10:0200,0.1998,0.1094,0.9464,0.973
13:44:10:0230,0.1930,0.1011,0.9300,0.955
13:44:10:0250,0.1844,0.0926,0.9176,0.940
13:44:10:0290,0.1730,0.0848,0.9080,0.928
13:44:10:0320,0.1639,0.0784,0.8983,0.916
13:44:10:0330,0.1559,0.0750,0.8909,0.908
13:44:10:0350,0.1493,0.0740,0.9056,0.921
13:44:10:0370,0.1456,0.0726,0.9095,0.924
13:44:10:0400,0.1378,0.0691,0.8736,0.887
13:44:10:0420,0.1273,0.0647,0.8414,0.853
13:44:10:0470,0.1212,0.0633,0.8499,0.861
13:44:10:0480,0.1190,0.0628,0.8963,0.906
13:44:10:0490,0.1197,0.0633,0.9525,0.962
13:44:10:0520,0.1221,0.0650,0.9931,1.003
13:44:10:0540,0.1239,0.0657,1.0011,1.011
13:44:10:0560,0.1263,0.0657,0.9923,1.002
13:44:10:0590,0.1349,0.0660,0.9921,1.003
13:44:10:0620,0.1507,0.0721,1.0026,1.016
13:44:10:0640,0.1693,0.0828,1.0150,1.032
13:44:10:0660,0.1884,0.0953,1.0192,1.041
13:44:10:0680,0.2018,0.1077,1.0141,1.040
13:44:10:0709,0.2084,0.1168,1.0021,1.030
13:44:10:0730,0.2125,0.1241,0.9860,1.016
13:44:10:0760,0.2155,0.1312,0.9723,1.004
13:44:10:0810,0.2133,0.1356,0.9579,0.991
13:44:10:0820,0.2120,0.1392,0.9410,0.975
13:44:10:0830,0.2116,0.1436,0.9203,0.955
13:44:10:0859,0.2064,0.1444,0.8922,0.927
13:44:10:0880,0.2001,0.1424,0.8599,0.894
13:44:10:0910,0.1937,0.1422,0.8296,0.864
13:44:10:0960,0.1866,0.1432,0.8062,0.840
13:44:10:0970,0.1796,0.1476,0.7915,0.825
13:44:10:0980,0.1737,0.1544,0.7742,0.808
13:44:10:1000,0.1673,0.1598,0.7605,0.795
13:44:10:1019,0.1595,0.1651,0.7612,0.795
13:44:10:1050,0.1534,0.1703,0.7822,0.815
13:44:10:1070,0.1498,0.1742,0.8357,0.867
13:44:10:1100,0.1458,0.1761,0.8944,0.923
13:44:10:1130,0.1400,0.1737,0.9310,0.957
13:44:10:1160,0.1353,0.1710,0.9391,0.964
13:44:10:1170,0.1341,0.1722,0.9027,0.929
13:44:10:1190,0.1353,0.1710,0.8194,0.848
13:44:10:1220,0.1258,0.1617,0.7148,0.744
13:44:10:1240,0.1080,0.1561,0.6034,0.633
13:44:10:1270,0.0970,0.1642,0.4896,0.525
13:44:10:1300,0.0889,0.1776,0.3879,0.436
13:44:10:1320,0.0765,0.1923,0.3129,0.375
13:44:10:1340,0.0650,0.2072,0.2712,0.347
13:44:10:1360,0.0550,0.2226,0.2624,0.348
13:44:10:1380,0.0484,0.2416,0.2765,0.370
13:44:10:1409,0.0493,0.2612,0.3005,0.401
13:44:10:1470,0.0572,0.2765,0.3364,0.439
13:44:10:1490,0.0699,0.2895,0.3848,0.487
13:44:10:1490,0.0855,0.3017,0.4461,0.545
13:44:10:1510,0.1055,0.3159,0.5221,0.619
13:44:10:1540,0.1273,0.3308,0.6054,0.701
13:44:10:1560,0.1478,0.3393,0.6921,0.785
13:44:10:1580,0.1644,0.3449,0.7771,0.866
13:44:10:1630,0.1754,0.3479,0.8538,0.939
13:44:10:1640,0.1830,0.3476,0.9178,0.998
13:44:10:1660,0.1881,0.3442,0.9713,1.048
13:44:10:1680,0.1913,0.3376,1.0148,1.086
