time,gFx,gFy,gFz,TgF
13:45:34:6270,0.0129,0.2069,0.9376,0.960
13:45:34:6290,0.0066,0.2035,0.9320,0.954
13:45:34:6320,0.0078,0.1998,0.9286,0.950
13:45:34:6340,0.0137,0.1971,0.9278,0.949
13:45:34:6360,0.0151,0.1949,0.9315,0.952
13:45:34:6400,0.0154,0.1945,0.9330,0.953
13:45:34:6420,0.0203,0.1954,0.9254,0.946
13:45:34:6440,0.0254,0.1989,0.9166,0.938
13:45:34:6460,0.0276,0.2001,0.9134,0.935
13:45:34:6480,0.0298,0.2003,0.9124,0.935
13:45:34:6510,0.0320,0.2040,0.9159,0.939
13:45:34:6540,0.0313,0.2081,0.9239,0.948
13:45:34:6600,0.0283,0.2116,0.9278,0.952
13:45:34:6610,0.0254,0.2142,0.9278,0.953
13:45:34:6640,0.0200,0.2172,0.9310,0.956
13:45:34:6640,0.0161,0.2184,0.9381,0.963
13:45:34:6660,0.0137,0.2172,0.9466,0.971
13:45:34:6690,0.0159,0.2186,0.9581,0.983
13:45:34:6710,0.0208,0.2226,0.9740,0.999
13:45:34:6760,0.0266,0.2255,0.9879,1.014
13:45:34:6770,0.0332,0.2250,1.0014,1.027
13:45:34:6780,0.0369,0.2218,1.0143,1.039
13:45:34:6800,0.0376,0.2138,1.0204,1.043
13:45:34:6830,0.0374,0.2067,1.0190,1.040
13:45:34:6850,0.0391,0.2040,1.0131,1.034
13:45:34:6870,0.0408,0.2018,1.0053,1.026
13:45:34:6909,0.0410,0.2003,0.9945,1.015
13:45:34:6929,0.0396,0.1969,0.9828,1.003
13:45:34:6949,0.0357,0.1947,0.9740,0.994
13:45:34:6969,0.0320,0.1949,0.9679,0.988
13:45:34:7000,0.0305,0.1969,0.9637,0.984
13:45:34:7020,0.0278,0.2015,0.9603,0.982
13:45:34:7050,0.0239,0.2062,0.9572,0.979
13:45:34:7070,0.0200,0.2101,0.9518,0.975
13:45:34:7090,0.0151,0.2167,0.9418,0.966
13:45:34:7120,0.0120,0.2238,0.9317,0.958
13:45:34:7140,0.0090,0.2274,0.9249,0.953
13:45:34:7170,0.0051,0.2328,0.9222,0.951
13:45:34:7190,0.0029,0.2377,0.9225,0.953
13:45:34:7220,0.0056,0.2421,0.9227,0.954
13:45:34:7240,0.0125,0.2484,0.9227,0.956
13:45:34:7260,0.0142,0.2526,0.9261,0.960
13:45:34:7290,0.0107,0.2550,0.9273,0.962
13:45:34:7330,0.0083,0.2575,0.9227,0.958
13:45:34:7340,0.0054,0.2563,0.9188,0.954
13:45:34:7360,0.0029,0.2558,0.9142,0.949
13:45:34:7390,0.0029,0.2563,0.9110,0.946
13:45:34:7410,0.0037,0.2558,0.9080,0.943
13:45:34:7430,0.0027,0.2572,0.9063,0.942
13:45:34:7460,0.0000,0.2565,0.9078,0.943
13:45:34:7480,-0.0056,0.2526,0.9129,0.947
13:45:34:7500,-0.0151,0.2455,0.9183,0.951
13:45:34:7530,-0.0244,0.2372,0.9190,0.949
13:45:34:7580,-0.0340,0.2301,0.9173,0.946
13:45:34:7590,-0.0423,0.2248,0.9171,0.945
13:45:34:7600,-0.0469,0.2218,0.9183,0.946
13:45:34:7630,-0.0525,0.2167,0.9217,0.948
13:45:34:7650,-0.0611,0.2135,0.9315,0.958
13:45:34:7680,-0.0677,0.2133,0.9466,0.973
13:45:34:7700,-0.0723,0.2150,0.9623,0.989
13:45:34:7750,-0.0748,0.2218,0.9791,1.007
13:45:34:7760,-0.0721,0.2311,0.9933,1.022
13:45:34:7780,-0.0672,0.2392,1.0028,1.033
13:45:34:7800,-0.0662,0.2450,1.0072,1.039
13:45:34:7830,-0.0682,0.2467,1.0045,1.037
13:45:34:7850,-0.0713,0.2460,0.9979,1.030
13:45:34:7870,-0.0752,0.2482,0.9835,1.017
13:45:34:7920,-0.0770,0.2502,0.9645,0.999
13:45:34:7930,-0.0723,0.2509,0.9491,0.984
13:45:34:7940,-0.0635,0.2531,0.9393,0.975
13:45:34:7970,-0.0530,0.2555,0.9310,0.967
13:45:34:7990,-0.0462,0.2572,0.9239,0.960
